雪茄,税前价格,折扣,原价,链接
"Romeo y Julieta - Romeo No. 2 5pcs, Alu Tubos",32.47,-3%,33.47,https://selected-cigars.com/en/romeo-y-julieta-romeo-no-2
"Romeo y Julieta - Romeo No. 2 10pcs, Alu Tubos",64.92,-3%,66.93,https://selected-cigars.com/en/romeo-y-julieta-romeo-no-2
"Romeo y Julieta - Romeo No. 2 25pcs, Alu Tubos",162.31,-3%,167.33,https://selected-cigars.com/en/romeo-y-julieta-romeo-no-2
Montecristo - Joyitas 1 piece,6.70,0,6.70,https://selected-cigars.com/en/montecristo-joyitas
"Montecristo - Joyitas 25pcs, wooden Box",157.61,-3%,162.48,https://selected-cigars.com/en/montecristo-joyitas
Jose La Piedra - Cremas 1 piece,1.95,0,1.95,https://selected-cigars.com/en/jose-la-piedra-cremas
Vegueros - Entretiempos 1pc,7.50,0,7.50,https://selected-cigars.com/en/vegueros-entretiempos
Vegueros - Entretiempos 4pcs box,28.23,-3%,29.10,https://selected-cigars.com/en/vegueros-entretiempos
Cohiba - LINEA CLASICA Exquisitos 1 piece,15.00,0,15.00,https://selected-cigars.com/en/cohiba-linea-clasica-exquisitos
Cohiba - LINEA CLASICA Exquisitos 5pcs Box,70.57,-3%,72.75,https://selected-cigars.com/en/cohiba-linea-clasica-exquisitos
"Partagás - Coronas Junior 1 piece, Alu Tubos",6.40,0,6.40,https://selected-cigars.com/en/partagas-coronas-junior
"Partagás - Coronas Junior 25pcs, Alu Tubos",150.54,-3%,155.20,https://selected-cigars.com/en/partagas-coronas-junior
Cohiba - LINEA CLASICA Panetelas 1 piece,12.50,0,12.50,https://selected-cigars.com/en/cohiba-linea-clasica-panetelas
Cohiba - LINEA CLASICA Panetelas 5pcs Box,58.81,-3%,60.63,https://selected-cigars.com/en/cohiba-linea-clasica-panetelas
"Cohiba - LINEA CLASICA Panetelas 25pcs, wooden Box",294.04,-3%,303.13,https://selected-cigars.com/en/cohiba-linea-clasica-panetelas
Romeo y Julieta - Belicosos 1 piece,13.10,0,13.10,https://selected-cigars.com/en/romeo-y-julieta-belicosos
"Romeo y Julieta - Belicosos 25pcs, wooden Box",308.15,-3%,317.68,https://selected-cigars.com/en/romeo-y-julieta-belicosos
Partagás - Serie D No. 5 1 piece,10.00,0,10.00,https://selected-cigars.com/en/partagas-serie-d-no-5
"Partagás - Serie D No. 5 1 piece, Alu Tubo",11.30,0,11.30,https://selected-cigars.com/en/partagas-serie-d-no-5
"Partagás - Serie D No. 5 10pcs, wooden Box",94.09,-3%,97.00,https://selected-cigars.com/en/partagas-serie-d-no-5
"Partagás - Serie D No. 5 25pcs, wooden Box",235.22,-3%,242.50,https://selected-cigars.com/en/partagas-serie-d-no-5
Jose La Piedra - Brevas 1 piece,2.20,0,2.20,https://selected-cigars.com/en/jose-la-piedra-brevas
Jose La Piedra - Brevas 5pcs,10.35,-3%,10.67,https://selected-cigars.com/en/jose-la-piedra-brevas
Jose La Piedra - Brevas 25pcs,51.75,-3%,53.35,https://selected-cigars.com/en/jose-la-piedra-brevas
San Cristobal - El Principe 1 piece,7.00,0,7.00,https://selected-cigars.com/en/san-cristobal-el-principe-2371
San Cristobal - El Principe 25pcs,164.66,-3%,169.75,https://selected-cigars.com/en/san-cristobal-el-principe-2371
Partagás - Aristocrats 1 piece,5.00,0,5.00,https://selected-cigars.com/en/partagas-aristocrats
"Partagás - Aristocrats 25pcs, wooden Box",117.61,-3%,121.25,https://selected-cigars.com/en/partagas-aristocrats
Bolívar - Tubos No. 3 A/T 1pc,6.90,0,6.90,https://selected-cigars.com/en/bolivar-tubos-no-3
Bolívar - Tubos No. 3 A/T 25pcs Box,162.31,-3%,167.33,https://selected-cigars.com/en/bolivar-tubos-no-3
Montecristo - OPEN Junior 1 piece,7.30,0,7.30,https://selected-cigars.com/en/montecristo-open-junior
"Montecristo - OPEN Junior 1 piece, Alu Tubos",8.50,0,8.50,https://selected-cigars.com/en/montecristo-open-junior
"Montecristo - OPEN Junior 20pcs, wooden Box",137.37,-3%,141.62,https://selected-cigars.com/en/montecristo-open-junior
Trinidad - Reyes 1 piece,8.60,0,8.60,https://selected-cigars.com/en/trinidad-reyes
"Trinidad - Reyes 12pcs, wooden Box",97.10,-3%,100.10,https://selected-cigars.com/en/trinidad-reyes
"Trinidad - Reyes 24pcs, wooden Box",194.20,-3%,200.21,https://selected-cigars.com/en/trinidad-reyes
Trinidad - Reyes 5pcs Box,39.05,-3%,40.26,https://selected-cigars.com/en/trinidad-reyes
Partagas Serie D No. 6 - 1 piece,8.30,0,8.30,https://selected-cigars.com/en/partagas-serie-d-no-6
Partagas Serie D No. 6 - 5pcs,39.05,-3%,40.26,https://selected-cigars.com/en/partagas-serie-d-no-6
Partagas Serie D No. 6 - 20pcs,156.19,-3%,161.02,https://selected-cigars.com/en/partagas-serie-d-no-6
Romeo y Julieta - Churchills 1 piece,16.50,0,16.50,https://selected-cigars.com/en/romeo-y-julieta-churchills
"Romeo y Julieta - Churchills 1 piece, Alu Tubos",18.80,0,18.80,https://selected-cigars.com/en/romeo-y-julieta-churchills
"Romeo y Julieta - Churchills 3pcs, Alu Tubos",53.07,-3%,54.71,https://selected-cigars.com/en/romeo-y-julieta-churchills
"Romeo y Julieta - Churchills 25pcs, wooden Box",388.13,-3%,400.13,https://selected-cigars.com/en/romeo-y-julieta-churchills
"Romeo y Julieta - Churchills 25pcs, Alu Tubos",442.22,-3%,455.90,https://selected-cigars.com/en/romeo-y-julieta-churchills
San Cristobal - La Punta 1 piece,12.40,0,12.40,https://selected-cigars.com/en/san-cristobal-la-punta-2379
San Cristobal - La Punta 25pcs,291.68,-3%,300.70,https://selected-cigars.com/en/san-cristobal-la-punta-2379
Cohiba - LINEA 1492 Siglo II 1pc,15.60,0,15.60,https://selected-cigars.com/en/cohiba-linea-1492-siglo-ii
"Cohiba - LINEA 1492 Siglo II 25pcs, wooden Box",366.95,-3%,378.30,https://selected-cigars.com/en/cohiba-linea-1492-siglo-ii
Romeo y Julieta - Mille Fleurs 1 piece,4.60,0,4.60,https://selected-cigars.com/en/romeo-y-julieta-mille-fleurs
"Romeo y Julieta - Mille Fleurs 10pcs, wooden Box",43.28,-3%,44.62,https://selected-cigars.com/en/romeo-y-julieta-mille-fleurs
"Romeo y Julieta - Mille Fleurs 25pcs, wooden Box",108.20,-3%,111.55,https://selected-cigars.com/en/romeo-y-julieta-mille-fleurs
Cohiba - LINEA CLASICA Coronas Especiales 1 piece *** 5pcs / Customer ***,22.00,0,22.00,https://selected-cigars.com/en/cohiba-linea-clasica-coronas-especiales
"Cohiba - LINEA CLASICA Coronas Especiales 25pcs, wooden Box *** 1 Box per customer ***",517.50,-3%,533.50,https://selected-cigars.com/en/cohiba-linea-clasica-coronas-especiales
Diplomaticos No.2 - 1pc,12.30,0,12.30,https://selected-cigars.com/en/diplomaticos-no-2
Por Larrañaga Picadores 1 piece,8.80,0,8.80,https://selected-cigars.com/en/por-larra-aga-picadores
"Por Larrañaga Picadores – 25pcs, wooden Box",207.00,-3%,213.40,https://selected-cigars.com/en/por-larra-aga-picadores
H. Upmann - Upmann No. 2 1 piece,13.40,0,13.40,https://selected-cigars.com/en/h-upmann-upmann-no-2
"H. Upmann - Upmann No. 2 25pcs, wooden Box",315.20,-3%,324.95,https://selected-cigars.com/en/h-upmann-upmann-no-2
Partagás - Mille Fleurs 1 piece,5.20,0,5.20,https://selected-cigars.com/en/partagas-mille-fleurs
Partagás - Mille Fleurs 5pcs Box,24.46,-3%,25.22,https://selected-cigars.com/en/partagas-mille-fleurs
"Partagás - Mille Fleurs 10pcs, wooden Box",48.93,-3%,50.44,https://selected-cigars.com/en/partagas-mille-fleurs
"Partagás - Mille Fleurs 25pcs, wooden Box",122.32,-3%,126.10,https://selected-cigars.com/en/partagas-mille-fleurs
H. UPMANN MAGNUM 54 - 1 pc,12.80,0,12.80,https://selected-cigars.com/en/h-upmann-magnum-54
H. UPMANN MAGNUM 54 - 1 pc,14.40,0,14.40,https://selected-cigars.com/en/h-upmann-magnum-54
H. UPMANN MAGNUM 54 - 10 pcs/box,120.44,-3%,124.16,https://selected-cigars.com/en/h-upmann-magnum-54
H. UPMANN MAGNUM 54 - 25pcs/box,301.09,-3%,310.40,https://selected-cigars.com/en/h-upmann-magnum-54
H. Upmann Connossieur A – exclusiv for La Casa del Habano,14.30,0,14.30,https://selected-cigars.com/en/h-upmann-connossieur-a-exklusiv-fuer-lcdh
"H. Upmann Connossieur A – exclusiv for La Casa del Habano 25pcs, wooden Box",336.38,-3%,346.78,https://selected-cigars.com/en/h-upmann-connossieur-a-exklusiv-fuer-lcdh
Montecristo - Edmundos 1 piece,13.70,0,13.70,https://selected-cigars.com/en/montecristo-edmundos
Montecristo - Edmundos A/T 1 piece,14.90,0,14.90,https://selected-cigars.com/en/montecristo-edmundos
Montecristo - Edmundos 3pcs Box,38.67,-3%,39.87,https://selected-cigars.com/en/montecristo-edmundos
Montecristo - Edmundos A/T 3pcs,42.06,-3%,43.36,https://selected-cigars.com/en/montecristo-edmundos
"Montecristo - Edmundos 25pcs, wooden Box",322.26,-3%,332.23,https://selected-cigars.com/en/montecristo-edmundos
H. Upmann - Magnum 50 1 piece,14.80,0,14.80,https://selected-cigars.com/en/h-upmann-magnum-50
"H. Upmann - Magnum 50 10pcs, wooden Box",139.25,-3%,143.56,https://selected-cigars.com/en/h-upmann-magnum-50
"H. Upmann - Magnum 50 25pcs, wooden Box",348.13,-3%,358.90,https://selected-cigars.com/en/h-upmann-magnum-50
Bolívar - Royal Coronas 1pc,10.80,0,10.80,https://selected-cigars.com/en/bolivar-royal-coronas
Bolívar - Royal Coronas A/T 1pc,11.90,0,11.90,https://selected-cigars.com/en/bolivar-royal-coronas
Bolívar - Royal Coronas A/T 10pcs,111.97,-3%,115.43,https://selected-cigars.com/en/bolivar-royal-coronas
"Bolívar - Royal Coronas 25pcs, wooden Box",254.04,-3%,261.90,https://selected-cigars.com/en/bolivar-royal-coronas
Fonseca - No. 1 1 piece,8.20,0,8.20,https://selected-cigars.com/en/fonseca-no-1
"Fonseca - No. 1 25pcs, wooden Box",192.88,-3%,198.85,https://selected-cigars.com/en/fonseca-no-1
Ramón Allones - Gigantes 1 piece,17.20,0,17.20,https://selected-cigars.com/en/ramon-allones-gigantes
"Ramón Allones - Gigantes 25pcs, wooden Box",404.59,-3%,417.10,https://selected-cigars.com/en/ramon-allones-gigantes
Punch - Punch 1 piece,11.90,0,11.90,https://selected-cigars.com/en/punch-punch
"Punch - Punch 25pcs, wooden Box",279.92,-3%,288.58,https://selected-cigars.com/en/punch-punch
"ROMEO Y JULIETA CEDROS DE LUXE - Exklusiv for La Casa del Habano, 1 piece",14.20,0,14.20,https://selected-cigars.com/en/romeo-y-julieta-cedros-de-luxe-exklusiv-fuer-la-casa-del-habano
ROMEO Y JULIETA CEDROS DE LUXE - Exklusiv for La Casa del Habano - 10pcs wooden Box,133.61,-3%,137.74,https://selected-cigars.com/en/romeo-y-julieta-cedros-de-luxe-exklusiv-fuer-la-casa-del-habano
H. Upmann - Half Corona 1 piece,4.40,0,4.40,https://selected-cigars.com/en/h-upmann-half-corona
"H. Upmann - Half Corona 5 pieces, sheet metal crate",24.46,-3%,25.22,https://selected-cigars.com/en/h-upmann-half-corona
"H. Upmann - Half Corona 25pcs,wooden Box",103.50,-3%,106.70,https://selected-cigars.com/en/h-upmann-half-corona
Partagás - Serie D No. 4 1 piece,11.30,0,11.30,https://selected-cigars.com/en/partagas-serie-d-no-4
"Partagás - Serie D No. 4 1 piece, Alu Tubo",12.50,0,12.50,https://selected-cigars.com/en/partagas-serie-d-no-4
"Partagás - Serie D No. 4 3pcs, Alu Tubo",35.29,-3%,36.38,https://selected-cigars.com/en/partagas-serie-d-no-4
"Partagás - Serie D No. 4 10pcs, wooden Box",106.32,-3%,109.61,https://selected-cigars.com/en/partagas-serie-d-no-4
"Partagás - Serie D No. 4 25pcs, wooden Box",265.81,-3%,274.03,https://selected-cigars.com/en/partagas-serie-d-no-4
Ramon Allones Allones Superiores exklusiv for LCDH - 1 pc,9.80,0,9.80,https://selected-cigars.com/en/ramon-allones-allones-superiores-exklusiv-fuer-lcdh
Ramon Allones Allones Superiores exklusiv for LCDH - 10pcs,92.21,-3%,95.06,https://selected-cigars.com/en/ramon-allones-allones-superiores-exklusiv-fuer-lcdh
Cohiba - LINEA CLASICA Robustos 1 piece,22.90,0,22.90,https://selected-cigars.com/en/cohiba-linea-clasica-robustos
Cohiba Robusto AT 1 piece,26.00,0,26.00,https://selected-cigars.com/en/cohiba-linea-clasica-robustos
Romeo y Julieta - Wide Churchills 1 piece,12.40,0,12.40,https://selected-cigars.com/en/romeo-y-julieta-wide-churchills
"Romeo y Julieta - Wide Churchills 1 piece, Alu Tubo",13.60,0,13.60,https://selected-cigars.com/en/romeo-y-julieta-wide-churchills
"Romeo y Julieta - Wide Churchills 3pcs, Alu Tubo",38.39,-3%,39.58,https://selected-cigars.com/en/romeo-y-julieta-wide-churchills
"Romeo y Julieta - Wide Churchills 25pcs, wooden Box",291.68,-3%,300.70,https://selected-cigars.com/en/romeo-y-julieta-wide-churchills
Partagás - Serie P No. 2 1 piece,13.60,0,13.60,https://selected-cigars.com/en/partagas-serie-p-no-2
"Partagás - Serie P No. 2 1 piece, Alu Tubo",14.80,0,14.80,https://selected-cigars.com/en/partagas-serie-p-no-2
"Partagás - Serie P No. 2 3pcs, Alu Tubo",41.78,-3%,43.07,https://selected-cigars.com/en/partagas-serie-p-no-2
"Partagás - Serie P No. 2 10pcs, wooden Box",127.96,-3%,131.92,https://selected-cigars.com/en/partagas-serie-p-no-2
"Partagás - Serie P No. 2 25pcs, wooden Box",319.91,-3%,329.80,https://selected-cigars.com/en/partagas-serie-p-no-2
Jose La Piedra - Petit Cazadores 1 piece,1.80,0,1.80,https://selected-cigars.com/en/jose-la-piedra-petit-cazadores
Jose La Piedra - Petit Cazadores 5pcs,8.47,-3%,8.73,https://selected-cigars.com/en/jose-la-piedra-petit-cazadores
Jose La Piedra - Petit Cazadores 25pcs,42.34,-3%,43.65,https://selected-cigars.com/en/jose-la-piedra-petit-cazadores
HOYO DE MONTERREY LE HOYO DE RIO SECO 1 PC,15.40,0,15.40,https://selected-cigars.com/en/hoyo-de-monterrey-le-hoyo-de-rio-seco
HOYO DE MONTERREY LE HOYO DE RIO SECO 25 pcs Box/ 1 Box per Customer,362.25,-3%,373.45,https://selected-cigars.com/en/hoyo-de-monterrey-le-hoyo-de-rio-seco
